STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,TOTAL,All types of bed functions,TOT,All types of beds,Number,15784,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,14039,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1745,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,14639,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,13274,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1365,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,142,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,142,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,LTC,Beds for long-term care function,TOT,All types of beds,Number,1003,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,623,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,380,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,OTHER,Beds for other care function,TOT,All types of beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2024,2024,OTHER,Beds for other care function,PSYCH,Psychiatric care type beds,Number,0,,
